Name,Power,Type,PP,Accuracy,Effect,Effect Chance,Target,Description,Category,
Jump Kick,70,Fighting,25,95,Hit or Self damage,0,One Opponent Pokemon,,Physical,
Rolling Kick,60,Fighting,24,100,Target flinches,30,One Opponent Pokemon,,Physical,
Sand Attack,0,Ground,5,100,Lower Acc.,0,One Opponent Pokemon,,Non-Damaging,
Headbutt,70,Normal,15,100,Target flinches,30,One Opponent Pokemon,,Physical,
Horn Attack,65,Normal,25,100,Normal Hit,0,One Opponent Pokemon,,Physical,
Fury Attack,15,Normal,20,85,Hit 2-5x,0,One Opponent Pokemon,,Physical,
Drill Run,80,Ground,16,100,Critical Hit,0,One Opponent Pokemon,High critical hit ratio.,Physical,
Tackle,35,Normal,35,95,Normal Hit,0,One Opponent Pokemon,,Physical,
Body Slam,85,Normal,24,100,Parlyze,30,One Opponent Pokemon,,Physical,
Wrap,15,Normal,20,100,2-5 Hits + Lower Evas.,100,One Opponent Pokemon,,Physical,
Take Down,90,Normal,20,85,take 1/4 damage,0,One Opponent Pokemon,,Physical,
Thrash,90,Normal,20,100,Attk. 3 turns + confuse,100,Opponent [???],,Physical,
Double-Edge,120,Normal,24,100,1/3 Recoil,0,One Opponent Pokemon,,Physical,
Tail Whip,0,Normal,1,100,Lower Def.,0,Both Opponent Pokemon,,Non-Damaging,
Poison Sting,15,Poison,35,100,Poison,30,One Opponent Pokemon,,Physical,
Twineedle,25,Bug,20,100,2 Hits + Poison,20,One Opponent Pokemon,,Physical,
Pin Missile,15,Bug,20,100,Hit 2-5x,0,One Opponent Pokemon,,Physical,
Leer,0,Normal,1,100,Lower Def.,0,Both Opponent Pokemon,,Non-Damaging,
Bite,60,Dark,25,100,Target flinches,30,One Opponent Pokemon,,Special,
Growl,0,Normal,1,100,Lower Attk.,0,Both Opponent Pokemon,,Non-Damaging,
Roar,0,Normal,5,100,Scare Opp./Switch PKMN,0,One Opponent Pokemon,,Non-Damaging,
Sing,0,Normal,32,70,Put to Sleep,0,One Opponent Pokemon,,Non-Damaging,
Supersonic,0,Normal,20,55,Confuse target,0,One Opponent Pokemon,,Non-Damaging,
Sonic Boom,1,Normal,20,100,20 Damage,0,One Opponent Pokemon,,Physical,
Disable,0,Normal,20,100,Disable last used Move,0,One Opponent Pokemon,,Non-Damaging,
Acid,40,Poison,30,100,Lower Def.,10,Both Opponent Pokemon,,Physical,
Ember,40,Fire,25,100,Burn,10,One Opponent Pokemon,,Special,
Flamethrower,95,Fire,24,100,Burn,10,One Opponent Pokemon,,Special,
Mist,0,Ice,3,0,Prevent Status changes,0,Your two Pokemon,,Non-Damaging,
Water Gun,40,Water,25,100,Normal Hit,0,One Opponent Pokemon,,Special,
Hydro Pump,120,Water,8,85,Normal Hit,0,One Opponent Pokemon,,Special,
Surf,95,Water,24,100,Normal Hit,0,Both Opponent Pokemon,,Special,
Ice Beam,95,Ice,16,100,Freeze,10,One Opponent Pokemon,,Special,
Blizzard,120,Ice,8,70,Freeze,10,Both Opponent Pokemon,,Special,
Psybeam,65,Psychic,20,100,Confuse,10,One Opponent Pokemon,,Special,
Bubble Beam,65,Water,20,100,Lower Spd.,10,One Opponent Pokemon,,Special,
Aurora Beam,65,Ice,20,100,Lower Attk.,10,One Opponent Pokemon,,Special,
Hyper Beam,150,Normal,8,100,Attack + Charge,0,One Opponent Pokemon,,Physical,
Peck,35,Flying,35,100,Normal Hit,0,One Opponent Pokemon,,Physical,
Drill Peck,80,Flying,20,100,Critical Hit,0,One Opponent Pokemon,High critical hit ratio.,Physical,
Low Kick,1,Fighting,20,100,Low Kick,0,One Opponent Pokemon,,Physical,
Counter,1,Fighting,32,100,Counter Attack,0,Your Pokemon,,Physical,
Seismic Toss,1,Fighting,20,100,Power depends on Lvl.,0,One Opponent Pokemon,,Physical,
Strength,80,Normal,15,100,Normal Hit,0,One Opponent Pokemon,,Physical,
Absorb,20,Grass,20,100,Heal,0,One Opponent Pokemon,,Special,
Mega Drain,40,Grass,10,100,Heal,0,One Opponent Pokemon,,Special,
Leech Seed,0,Grass,16,100,Heal each round,0,One Opponent Pokemon,,Non-Damaging,
Growth,0,Normal,5,0,Raise Sp. Attk.,0,Your two Pokemon,,Non-Damaging,
Razor Leaf,55,Grass,25,95,Critical Hit,0,Both Opponent Pokemon,,Special,
Solar Beam,120,Grass,16,100,Solarbeam,0,One Opponent Pokemon,,Special,
Poison Powder,0,Poison,35,75,Poison,0,One Opponent Pokemon,,Non-Damaging,
Stun Spore,0,Grass,30,75,Parlyz,0,One Opponent Pokemon,,Non-Damaging,
Sleep Powder,0,Grass,24,80,Put to Sleep,0,One Opponent Pokemon,,Non-Damaging,
Petal Dance,95,Grass,16,100,Lower Spec. Def.,10,One Opponent Pokemon,10% chance to lower the target's Sp. Def.,Special,
String Shot,0,Bug,5,100,Lower Spd.,0,Both Opponent Pokemon,,Non-Damaging,
Dragon Rage,1,Dragon,10,100,Always 40 HP Hit,0,One Opponent Pokemon,,Special,
Fire Spin,15,Fire,24,100,2-5 Hits + Lower Evas.,100,One Opponent Pokemon,,Special,
Thunder Shock,40,Electric,30,100,Parlyze,10,One Opponent Pokemon,,Special,
Thunderbolt,95,Electric,24,100,Parlyze,10,One Opponent Pokemon,,Special,
Thunder Wave,0,Electric,16,100,Parlyz,0,One Opponent Pokemon,,Non-Damaging,
Thunder,120,Electric,16,70,Thunder,30,One Opponent Pokemon,,Special,
Rock Throw,50,Rock,15,90,Normal Hit,0,One Opponent Pokemon,,Physical,
Earthquake,100,Ground,16,100,Earthquake,0,All,,Physical,
Earth Power,90,Ground,16,100,Lower Def.,30,One Opponent Pokemon,30% chance to lower the target's Defense.,Physical,
Dig,60,Ground,10,100,Fly/Bounce/Dig,0,One Opponent Pokemon,,Physical,
Toxic,0,Poison,16,100,Poison badly,100,One Opponent Pokemon,,Non-Damaging,
Confusion,50,Psychic,25,100,Confuse,10,One Opponent Pokemon,,Special,
Psychic,90,Psychic,16,100,Lower Spec. Def.,10,One Opponent Pokemon,,Special,
Hypnosis,0,Psychic,24,70,Put to Sleep,0,One Opponent Pokemon,,Non-Damaging,
Meditate,0,Psychic,5,0,Raise Attk.,0,Your two Pokemon,,Non-Damaging,
Agility,0,Psychic,3,0,Raise Speed sharply,0,Your two Pokemon,,Non-Damaging,
Quick Attack,40,Normal,30,100,Always 1st strike,0,One Opponent Pokemon,,Physical,
Rage,20,Normal,20,100,Raise Attack,0,One Opponent Pokemon,,Physical,
Teleport,0,Psychic,20,0,153,0,Your two Pokemon,,Non-Damaging,
Night Shade,1,Ghost,15,100,Power depends on Lvl.,0,One Opponent Pokemon,,Physical,
Mimic,0,Normal,10,100,Copy Opp.'s last Move,0,One Opponent Pokemon,,Non-Damaging,
Screech,0,Normal,3,85,Lower Defence sharply,0,One Opponent Pokemon,,Non-Damaging,
Double Team,0,Normal,6,0,Raise Evas.,0,Your two Pokemon,,Non-Damaging,
Recover,0,Normal,10,0,Recover health,0,Your two Pokemon,,Non-Damaging,
Harden,0,Normal,5,0,Raise Def.,0,Your two Pokemon,,Non-Damaging,
Minimize,0,Normal,6,0,Raise Evas.,0,Your two Pokemon,,Non-Damaging,
Smokescreen,0,Normal,5,100,Lower Acc.,0,One Opponent Pokemon,,Non-Damaging,
Confuse Ray,0,Ghost,10,100,Confuse target,0,One Opponent Pokemon,,Non-Damaging,
Withdraw,0,Water,1,0,Raise Def.,0,Your two Pokemon,,Non-Damaging,
Defense Curl,0,Normal,1,0,Defense Curl,0,Your two Pokemon,,Non-Damaging,
Barrier,0,Psychic,3,0,Raise Defence sharply,0,Your two Pokemon,,Non-Damaging,
Light Screen,0,Psychic,3,0,1/2 Spec. dmg f. 5 Rounds,0,Your two Pokemon,,Non-Damaging,
Haze,0,Ice,5,0,All Stats normal,0,Your two Pokemon,,Non-Damaging,
Reflect,0,Psychic,3,0,Taken damage is 1/2,0,Your two Pokemon,,Non-Damaging,
Focus Energy,0,Normal,1,0,Raise Critical chance,0,Your two Pokemon,,Non-Damaging,
Bide,1,Normal,10,100,Take dmg. + attk. in 3 turns,0,Your two Pokemon,,Physical,
Metronome,0,Normal,35,0,Cast random Move,0,Your Pokemon,,Non-Damaging,
Mirror Move,0,Flying,20,0,Copy Attack of Opp.,0,Your Pokemon,,Non-Damaging,
Self-Destruct,200,Normal,1,100,Selfdestruct,0,All,,Physical,
Egg Bomb,120,Grass,10,100,1/3 Recoil,0,One Opponent Pokemon,Has 1/3 recoil.,Special,
Lick,20,Ghost,30,100,Parlyze,30,One Opponent Pokemon,,Physical,
Smog,20,Poison,20,70,Poison,40,One Opponent Pokemon,,Physical,
Sludge Bomb,90,Poison,16,100,Poison,30,One Opponent Pokemon,,Physical,
Bone Club,65,Ground,20,85,Target flinches,10,One Opponent Pokemon,,Physical,
Fire Blast,120,Fire,8,85,Burn,10,One Opponent Pokemon,,Special,
Waterfall,80,Water,15,100,Target flinches,30,One Opponent Pokemon,30% chance to make the target flinch.,Special,
Clamp,35,Water,16,100,2-5 Hits + Lower Evas.,100,One Opponent Pokemon,,Special,
Swift,60,Normal,20,0,100% no Type diff.,0,Both Opponent Pokemon,,Physical,
Head Smash,150,Rock,8,100,1/3 Recoil,0,One Opponent Pokemon,Has 1/3 recoil.,Physical,
Amnesia,0,Psychic,3,0,Raise Spec. Def. sharply,0,Your two Pokemon,,Non-Damaging,
Kinesis,0,Psychic,6,100,Lower Acc.,0,One Opponent Pokemon,,Non-Damaging,
Soft-Boiled,0,Normal,16,100,Heal 1/2,0,Your two Pokemon,,Non-Damaging,
High Jump Kick,85,Fighting,20,90,Hit or Self damage,0,One Opponent Pokemon,,Physical,
Glare,0,Dark,30,100,Parlyz,0,One Opponent Pokemon,,Non-Damaging,
Dream Eater,100,Psychic,15,100,Hit if Opp. is sleeping,0,One Opponent Pokemon,,Special,
Leech Life,40,Bug,24,100,Heal,0,One Opponent Pokemon,,Physical,
Lovely Kiss,0,Normal,16,85,Put to Sleep,0,One Opponent Pokemon,,Non-Damaging,
Sky Attack,120,Flying,16,100,1/3 Recoil,0,One Opponent Pokemon,Has 1/3 recoil.,Physical,
Transform,0,Normal,32,0,Transf. into Target,0,One Opponent Pokemon,,Non-Damaging,
Bubble,20,Water,30,100,Lower Spd.,10,Both Opponent Pokemon,,Special,
Dizzy Punch,90,Normal,10,100,Confuse,30,One Opponent Pokemon,30% chance to confuse the target.,Physical,
Spore,0,Grass,15,100,Put to Sleep,0,One Opponent Pokemon,,Non-Damaging,
Flash,0,Normal,5,70,Lower Acc.,0,One Opponent Pokemon,,Non-Damaging,
Psywave,1,Psychic,24,100,Power depends on Lvl.,0,One Opponent Pokemon,Does damage equal to the user's level.,Special,
Acid Armor,0,Poison,3,0,Raise Defence sharply,0,Your two Pokemon,,Non-Damaging,
Crabhammer,120,Water,16,100,Critical Hit,0,One Opponent Pokemon,,Special,
Explosion,250,Normal,1,100,Selfdestruct,0,All,,Physical,
Fury Swipes,18,Normal,15,80,Hit 2-5x,0,One Opponent Pokemon,,Physical,
Bonemerang,50,Ground,16,100,Hit 2x,0,One Opponent Pokemon,,Physical,
Rest,0,Psychic,10,0,Sleep 3 turns + Full HP,0,Your two Pokemon,,Non-Damaging,
Rock Slide,75,Rock,16,100,Target flinches,30,Both Opponent Pokemon,,Physical,
Hyper Fang,80,Normal,24,100,Target flinches,10,One Opponent Pokemon,,Physical,
Conversion,0,Normal,30,0,Change to Attack type,0,Your two Pokemon,,Non-Damaging,
Tri Attack,80,Normal,16,100,Pois./Parl./Frz.,20,One Opponent Pokemon,,Physical,
Super Fang,1,Dark,16,100,Half HP,0,One Opponent Pokemon,,Special,
Slash,70,Normal,20,100,Critical Hit,0,One Opponent Pokemon,,Physical,
Substitute,0,Normal,10,0,Half HP + create Doll,0,Your two Pokemon,,Non-Damaging,
Struggle,50,Normal,1,100,take 1/4 damage,0,One Opponent Pokemon,,Physical,
Sketch,0,Normal,1,0,Learn last Move permanently,0,One Opponent Pokemon,,Non-Damaging,
Thief,40,Dark,10,100,Normal Hit,100,One Opponent Pokemon,No additional effect.,Special,
Spider Web,0,Bug,10,100,Prevent escape,0,One Opponent Pokemon,,Non-Damaging,
Mind Reader,0,Normal,5,100,Next attack Hits 100%,0,One Opponent Pokemon,,Non-Damaging,
Nightmare,0,Ghost,15,100,Cause Nightmares,0,One Opponent Pokemon,,Non-Damaging,
Flame Wheel,60,Fire,25,100,Burn,10,One Opponent Pokemon,,Special,
Snore,60,Normal,30,100,30% chance of Switch,30,One Opponent Pokemon,,Physical,
Curse,0,Unknown,6,0,Cause Curse,0,One Opponent Pokemon,,Non-Damaging,
Flail,1,Normal,5,100,Less HP = More Power,0,One Opponent Pokemon,,Physical,
Conversion 2,0,Normal,30,100,Own Type > Opp. Type,0,Your two Pokemon,,Non-Damaging,
Aeroblast,120,Flying,10,100,Critical Hit,0,One Opponent Pokemon,,Physical,
Reversal,1,Fighting,5,100,Less HP = More Power,0,One Opponent Pokemon,,Physical,
Spite,0,Ghost,16,100,Decrease last Moves PP,0,One Opponent Pokemon,,Non-Damaging,
Powder Snow,40,Ice,25,100,Freeze,10,Both Opponent Pokemon,,Special,
Protect,0,Normal,10,0,Protect target,0,Your two Pokemon,,Non-Damaging,
Mach Punch,40,Fighting,30,100,Always 1st strike,0,One Opponent Pokemon,,Physical,
Scary Face,0,Normal,3,100,Lower Speed sharply,0,One Opponent Pokemon,,Non-Damaging,
Feint Attack,60,Dark,20,0,100% no Type diff.,0,One Opponent Pokemon,,Special,
Sweet Kiss,0,Normal,10,75,Confuse target,0,One Opponent Pokemon,,Non-Damaging,
Belly Drum,0,Normal,3,0,Belly Drum,0,Your two Pokemon,,Non-Damaging,
Gunk Shot,120,Poison,8,100,Poison,30,One Opponent Pokemon,30% chance to poison the target.,Physical,
Mud-Slap,20,Ground,10,100,Lower Acc.,100,One Opponent Pokemon,,Physical,
Octazooka,95,Water,16,100,Lower Acc.,50,One Opponent Pokemon,,Special,
Spikes,0,Ground,3,0,Cause dmg. on PKMN switch,0,Your sent out Pokemon,,Non-Damaging,
Zap Cannon,100,Electric,5,50,Parlyze,100,One Opponent Pokemon,,Special,
Foresight,0,Normal,5,100,Foresight,0,One Opponent Pokemon,,Non-Damaging,
Destiny Bond,0,Ghost,5,0,Defeat Pokemon,0,Your two Pokemon,,Non-Damaging,
Perish Song,0,Normal,5,0,Defeat after 3 rounds,0,Your two Pokemon,,Non-Damaging,
Icy Wind,55,Ice,24,100,Lower Spd.,100,Both Opponent Pokemon,,Special,
Detect,0,Fighting,5,0,Protect target,0,Your two Pokemon,,Non-Damaging,
Bone Rush,100,Ground,24,100,Normal Hit,0,One Opponent Pokemon,No additional effect.,Physical,
Lock-On,0,Normal,5,100,Next attack Hits 100%,0,One Opponent Pokemon,,Non-Damaging,
Sandstorm,0,Rock,1,0,Cause a Sandstorm,0,Your two Pokemon,,Non-Damaging,
Giga Drain,75,Grass,16,100,Heal,0,One Opponent Pokemon,,Special,
Endure,0,Normal,5,0,Survive Hit with at leat 1 HP,0,Your two Pokemon,,Non-Damaging,
Charm,0,Normal,5,100,Lower Attack sharply,0,One Opponent Pokemon,,Non-Damaging,
Rollout,30,Rock,20,90,Hit until miss,0,One Opponent Pokemon,,Physical,
False Swipe,40,Normal,40,100,Lower HP to 1,0,One Opponent Pokemon,,Physical,
Swagger,0,Normal,15,90,Confuse + Raise Attk. sharply,100,One Opponent Pokemon,,Non-Damaging,
Milk Drink,0,Normal,10,0,Heal 1/2,0,Your two Pokemon,,Non-Damaging,
Wild Charge,90,Electric,24,100,1/3 Recoil,10,One Opponent Pokemon,Has 1/3 recoil. 10% chance to paralyze the target.,Special,
X-Scissors,80,Bug,20,100,Critical Hit,0,One Opponent Pokemon,High critical hit ratio.,Physical,
Steel Wing,80,Steel,25,100,+1 Def,10,One Opponent Pokemon,,Physical,
Mean Look,0,Normal,5,100,Prevent escape,0,One Opponent Pokemon,,Non-Damaging,
Attract,0,Normal,15,100,50% chance of not Attacking,0,One Opponent Pokemon,,Non-Damaging,
Sleep Talk,0,Normal,16,0,Cause random Move while Slp.,0,Your Pokemon,,Non-Damaging,
Heal Bell,0,Normal,2,0,Restore Team's Status,0,Your two Pokemon,,Non-Damaging,
Return,103,Normal,32,100,Normal Hit,0,One Opponent Pokemon,No additional effect.,Physical,
Present,1,Normal,15,90,Damage or Heal,0,One Opponent Pokemon,,Physical,
Frustration,103,Normal,32,100,Normal Hit,0,One Opponent Pokemon,No additional effect.,Physical,
Safeguard,0,Normal,3,0,Stop Psn. Moves f. 5 Rounds,0,Your two Pokemon,,Non-Damaging,
Pain Split,0,Normal,10,100,Rest. HP ((HP + Opp. HP) / 2),0,One Opponent Pokemon,,Non-Damaging,
Sacred Fire,120,Fire,10,100,Burn,50,One Opponent Pokemon,,Special,
Magnitude,1,Ground,30,100,Magnitude,0,All,,Physical,
Dynamic Punch,100,Fighting,5,50,Confuse,100,One Opponent Pokemon,,Physical,
Megahorn,120,Bug,16,90,Normal Hit,0,One Opponent Pokemon,,Physical,
Dragon Breath,60,Dragon,20,100,Parlyze,30,One Opponent Pokemon,,Special,
Baton Pass,0,Normal,40,0,Baton Pass,0,Your two Pokemon,,Non-Damaging,
Encore,0,Normal,5,100,Opp. repeats last Move,0,One Opponent Pokemon,,Non-Damaging,
Pursuit,40,Dark,20,100,Pursuit,0,One Opponent Pokemon,,Special,
Rapid Spin,20,Normal,1,100,Rapid Spin,0,One Opponent Pokemon,,Physical,
Sweet Scent,0,Normal,5,100,Lower Evas./Attract PKMN,0,Both Opponent Pokemon,,Non-Damaging,
Iron Tail,100,Steel,24,90,Lower Def.,30,One Opponent Pokemon,30% chance to lower the target's Defense.,Physical,
Metal Claw,50,Steel,35,95,Raise Own Attk.,10,One Opponent Pokemon,,Physical,
Vital Throw,70,Fighting,10,100,Strike 1st + 100% Hit,0,One Opponent Pokemon,,Physical,
Morning Sun,0,Normal,10,0,Recover health,0,Your two Pokemon,Heals the user.,Non-Damaging,
Synthesis,0,Grass,10,0,Recover health,0,Your two Pokemon,Heals the user.,Non-Damaging,
Moonlight,0,Normal,10,0,Recover health,0,Your two Pokemon,Heals the user.,Non-Damaging,
Hidden Power,1,Normal,15,100,Hidden Power,0,One Opponent Pokemon,,Physical,
Cross Chop,100,Fighting,8,90,Critical Hit,0,One Opponent Pokemon,,Physical,
Twister,40,Dragon,20,100,Double dmg On Flyer Flinch Chance,20,Both Opponent Pokemon,,Special,
Rain Dance,0,Water,1,0,Rain Dance,0,Your two Pokemon,,Non-Damaging,
Sunny Day,0,Fire,1,0,Sunny Day,0,Your two Pokemon,,Non-Damaging,
Crunch,80,Dark,24,100,Lower Spec. Def.,20,One Opponent Pokemon,,Special,
Mirror Coat,1,Psychic,32,100,Mirror Coat,0,Your Pokemon,,Special,
Psych Up,0,Normal,10,0,Psych Up,0,One Opponent Pokemon,,Non-Damaging,
Extreme Speed,100,Normal,8,100,Always 1st strike,0,One Opponent Pokemon,,Physical,
Ancient Power,80,Rock,8,100,Omniboost,10,One Opponent Pokemon,,Physical,
Shadow Ball,80,Ghost,24,100,Lower Def.,20,One Opponent Pokemon,,Physical,
Rock Smash,40,Fighting,24,100,Lower Def.,50,One Opponent Pokemon,50% chance to lower the target's Defense.,Physical,
Whirlpool,15,Water,24,100,2-5 Hits + Lower Evas.,100,One Opponent Pokemon,,Special,
Beat Up,10,Dark,10,100,Beat Up,0,One Opponent Pokemon,,Special,
Fake Out,40,Normal,5,100,Fake Out,0,One Opponent Pokemon,,Physical,
Uproar,50,Normal,10,100,Uproar,100,Opponent [???],,Physical,
Stockpile,0,Normal,16,0,+1 Def +Spdef,0,Your two Pokemon,Raises the your Pokemon's Defense and Sp. Def by 1 each.,Non-Damaging,
Spit Up,100,Normal,16,100,Normal Hit,0,One Opponent Pokemon,No additional effect.,Physical,
Swallow,0,Normal,10,0,Recover health,0,Your two Pokemon,Heals the user.,Non-Damaging,
Heat Wave,100,Fire,16,100,Burn,20,Both Opponent Pokemon,20% chance to burn the target.,Special,
Hail,0,Ice,1,0,Hail,0,Your two Pokemon,,Non-Damaging,
Torment,0,Dark,5,100,Torment,0,One Opponent Pokemon,,Non-Damaging,
Flatter,0,Dark,24,100,Confuse target,0,One Opponent Pokemon,Confuses the target.,Non-Damaging,
Will-O-Wisp,0,Fire,15,85,Will-O-Wisp,0,One Opponent Pokemon,,Non-Damaging,
Memento,0,Dark,1,100,Memento,0,One Opponent Pokemon,,Non-Damaging,
Facade,70,Normal,32,100,Facade,0,One Opponent Pokemon,,Physical,
Focus Punch,150,Fighting,20,100,Focus Punch,0,One Opponent Pokemon,,Physical,
Smelling Salts,60,Normal,10,100,Smellingsalt,0,One Opponent Pokemon,,Physical,
Follow Me,0,Normal,20,100,Follow Me,0,Your two Pokemon,,Non-Damaging,
Nature Power,0,Normal,20,95,Nature Power,0,Your Pokemon,,Non-Damaging,
Charge,0,Electric,20,100,Charge,0,Your two Pokemon,,Non-Damaging,
Taunt,0,Dark,3,100,Splash... Nothing... -.-,0,One Opponent Pokemon,No competitive use.,Non-Damaging,
Helping Hand,0,Normal,20,100,Helping Hand,0,Your two Pokemon,,Non-Damaging,
Role Play,0,Psychic,10,100,Role Play,0,One Opponent Pokemon,,Non-Damaging,
Wish,0,Normal,2,100,Wish,0,Your two Pokemon,,Non-Damaging,
Assist,0,Normal,32,100,Assist,0,Your Pokemon,,Non-Damaging,
Ingrain,0,Grass,1,100,Ingrain,0,Your two Pokemon,,Non-Damaging,
Superpower,120,Fighting,8,100,1/3 Recoil,0,One Opponent Pokemon,Has 1/3 recoil.,Physical,
Magic Coat,0,Psychic,15,100,Magic Coat,0,Your Pokemon,,Non-Damaging,
Recycle,0,Normal,16,100,Recycle,0,Your two Pokemon,,Non-Damaging,
Revenge,60,Fighting,10,100,Revenge,0,One Opponent Pokemon,,Physical,
Brick Break,75,Fighting,15,100,Brick Break,0,One Opponent Pokemon,,Physical,
Yawn,0,Normal,10,70,Put to Sleep,0,One Opponent Pokemon,Causes the target to fall asleep.,Non-Damaging,
Knock Off,20,Dark,5,100,Knock Off,100,One Opponent Pokemon,,Special,
Endeavor,1,Normal,5,100,Endeavor,0,One Opponent Pokemon,,Physical,
Draco Meteor,120,Dragon,8,100,1/3 Recoil,0,One Opponent Pokemon,Has 1/3 recoil.,Special,
Skill Swap,0,Psychic,10,100,Skill Swap,0,One Opponent Pokemon,,Non-Damaging,
Imprison,0,Psychic,10,100,Imprison,0,Your two Pokemon,,Non-Damaging,
Refresh,0,Normal,5,100,Refresh,0,Your two Pokemon,,Non-Damaging,
Grudge,0,Ghost,5,100,Grudge,0,Your two Pokemon,,Non-Damaging,
Snatch,0,Dark,3,100,Splash... Nothing... -.-,0,Your Pokemon,No competitive use.,Non-Damaging,
Secret Power,70,Normal,20,100,Secret Power,30,One Opponent Pokemon,,Physical,
Dive,60,Water,10,100,Fly/Bounce/Dig,0,One Opponent Pokemon,,Special,
Force Palm,60,Fighting,16,100,Parlyze,30,One Opponent Pokemon,30% chance to paralyze the target.,Physical,
Camouflage,0,Normal,20,100,Camouflage,0,Your two Pokemon,,Non-Damaging,
Tail Glow,0,Bug,3,100,Raise Spec. Att. sharply,0,Your two Pokemon,,Non-Damaging,
Luster Purge,90,Psychic,10,100,Lower Spec. Def.,50,One Opponent Pokemon,,Special,
Mist Ball,90,Psychic,10,100,Lower Spec. Attk.,50,One Opponent Pokemon,,Special,
Feather Dance,0,Flying,5,100,Lower Attack sharply,0,One Opponent Pokemon,,Non-Damaging,
Teeter Dance,0,Normal,32,100,Confuse target,0,Both Opponent Pokemon,Confuses the target(s).,Non-Damaging,
Blaze Kick,100,Fire,16,100,Burn chance increased crit,30,One Opponent Pokemon,High critical hit ratio. 30% chance to burn the target.,Special,
Mud Sport,0,Ground,15,100,Mud Spot,0,Your two Pokemon,,Non-Damaging,
Ice Ball,30,Ice,20,90,Hit until miss,0,One Opponent Pokemon,,Special,
Needle Arm,95,Grass,24,100,Flinch 2x on minimized,30,One Opponent Pokemon,,Special,
Slack Off,0,Normal,10,100,Recover health,0,Your two Pokemon,,Non-Damaging,
Hyper Voice,120,Normal,16,100,Lower Def.,20,Both Opponent Pokemon,20% chance to lower the target's Defense.,Physical,
Poison Fang,90,Poison,24,100,Badly Poison Chance,50,One Opponent Pokemon,,Physical,
Crush Claw,100,Normal,16,100,Lower Def.,50,One Opponent Pokemon,,Physical,
Blast Burn,150,Fire,8,100,Attack + Charge,0,One Opponent Pokemon,,Special,
Hydro Cannon,150,Water,8,100,Attack + Charge,0,One Opponent Pokemon,,Special,
Meteor Mash,100,Steel,16,100,Raise Own Attk.,30,One Opponent Pokemon,,Physical,
Shadow Sneak,40,Ghost,24,100,Always 1st strike,0,One Opponent Pokemon,Usually goes first.,Physical,
Weather Ball,50,Normal,16,100,Weather Ball,0,One Opponent Pokemon,,Physical,
Aromatherapy,0,Grass,2,0,Restore Team's Status,0,Your two Pokemon,,Non-Damaging,
Fake Tears,0,Dark,3,100,Lower Spec. Def. sharply,0,One Opponent Pokemon,,Non-Damaging,
Air Slash,80,Flying,25,100,Target flinches,30,One Opponent Pokemon,30% chance to make the target flinch.,Physical,
Overheat,120,Fire,16,100,1/3 Recoil,0,One Opponent Pokemon,Has 1/3 recoil.,Special,
Odor Sleuth,0,Normal,3,100,Foresight,0,One Opponent Pokemon,,Non-Damaging,
Rock Tomb,55,Rock,16,100,Lower Spd.,100,One Opponent Pokemon,,Physical,
Silver Wind,60,Bug,5,100,Omniboost,10,One Opponent Pokemon,,Physical,
Flash Cannon,90,Steel,16,100,Lower Def.,30,One Opponent Pokemon,30% chance to lower the target's Defense.,Physical,
